2026-02-22 20:34:35,051 | INFO    | engine   | [R2] Pick #2 Bot_10: Mega Victreebel (T100) - Left: 960
2026-02-22 20:34:35,062 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Bot_9
2026-02-22 20:34:35,065 | INFO    | engine   | [R2] Pick #2 Bot_9: Dragonite (T160) - Left: 940
2026-02-22 20:34:35,075 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Bot_8
2026-02-22 20:34:35,079 | INFO    | engine   | [R2] Pick #2 Bot_8: Sigilyph (T80) - Left: 960
2026-02-22 20:34:35,089 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Bot_7
2026-02-22 20:34:35,092 | INFO    | engine   | [R2] Pick #2 Bot_7: Rotom-Fan (T80) - Left: 980
2026-02-22 20:34:35,103 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Bot_6
2026-02-22 20:34:35,106 | INFO    | engine   | [R2] Pick #2 Bot_6: Iron Jugulis (T120) - Left: 940
2026-02-22 20:34:35,117 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Bot_5
2026-02-22 20:34:35,120 | INFO    | engine   | [R2] Pick #2 Bot_5: Volcarona (T140) - Left: 1040
2026-02-22 20:34:35,130 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Bot_4
2026-02-22 20:34:35,134 | INFO    | engine   | [R2] Pick #2 Bot_4: Skarmory (T140) - Left: 940
2026-02-22 20:34:35,144 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Bot_3
2026-02-22 20:34:35,147 | INFO    | engine   | [R2] Pick #2 Bot_3: Rabsca (T140) - Left: 1040
2026-02-22 20:34:35,157 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Bot_2
2026-02-22 20:34:35,161 | INFO    | engine   | [R2] Pick #2 Bot_2: Ditto (T100) - Left: 920
2026-02-22 20:34:35,171 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Bot_1
2026-02-22 20:34:35,176 | INFO    | engine   | [R2] Pick #2 Bot_1: Corviknight (T160) - Left: 820
2026-02-22 20:34:35,186 | INFO    | engine   | [Turn Start] Round 2, Pick #2 for Don Helios
2026-02-22 20:34:35,189 | INFO    | engine   | [R2] Pick #2 Don Helios: Aegislash (T180) - Left: 960
2026-02-22 20:34:35,200 | INFO    | engine   | --- STARTING ROUND 3 (Silent) ---
2026-02-22 20:34:35,200 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Don Helios
2026-02-22 20:34:35,205 | INFO    | engine   | [R3] Pick #3 Don Helios: Helios (T180) - Left: 780
2026-02-22 20:34:35,215 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Bot_1
2026-02-22 20:34:35,219 | INFO    | engine   | [R3] Pick #3 Bot_1: Glimmora (T140) - Left: 680
2026-02-22 20:34:35,229 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Bot_2
2026-02-22 20:34:35,234 | INFO    | engine   | [R3] Pick #3 Bot_2: Zygarde-50% (T200) - Left: 720
2026-02-22 20:34:35,245 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Bot_3
2026-02-22 20:34:35,249 | INFO    | engine   | [R3] Pick #3 Bot_3: Hisuian Typhlosion (T100) - Left: 940
2026-02-22 20:34:35,259 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Bot_4
2026-02-22 20:34:35,263 | INFO    | engine   | [R3] Pick #3 Bot_4: Mega Beedrill (T140) - Left: 800
2026-02-22 20:34:35,273 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Bot_5
2026-02-22 20:34:35,278 | INFO    | engine   | [R3] Pick #3 Bot_5: Mega Slowbro (T120) - Left: 920
2026-02-22 20:34:35,288 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Bot_6
2026-02-22 20:34:35,293 | INFO    | engine   | [R3] Pick #3 Bot_6: Fezandipiti (T120) - Left: 820
2026-02-22 20:34:35,303 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Bot_7
2026-02-22 20:34:35,307 | INFO    | engine   | [R3] Pick #3 Bot_7: Latios (T200) - Left: 780
2026-02-22 20:34:35,317 | INFO    | engine   | [Turn Start] Round 3, Pick #3 for Bot_8
